Learning_outcome,Remember,Understand,Apply,Analyze,Evaluate,Create
Apply formal MAS modelling approaches as appropriate,,,1,,,
Apply foundation clinical and communication skills in the assessment and management of patients under supervision.,,,1,,,
Apply foundational statistical tests to a range of scientific data,,,1,,,
Apply functions and appropriate mathematical tools to model simple physical systems;,,,1,,,
Apply fundamental concepts and skills with advanced control design techniques.,,,1,,,
Apply fundamental equations to establish mathematical relationships amongst commonly encountered thermodynamic properties.,,,1,,,
"Apply fundamental knowledge of health sciences to determine and perform appropriate musculoskeletal physiotherapy management, including monitoring its effectiveness and utilising re-assessment findings to inform practice;",,,1,,,
Apply fundamental principles to physical problems involving fluids in hydrostatic and dynamic conditions.,,,1,,,
Apply fundamental principles to the design and selection of safe and efficient blasting to: a. Design blasts to achieve particular outcomes b. Manage and control blast damage and environmental impacts c. Evaluate productivity and economics,,,1,,1,
"Apply fundamental programming control structures, including conditional statements, iteration and recursion to solve programming problems;",,,1,,,
